N, S, T_OMP, T_TIMESPEC
10000,	10000,	0.0006566250,	0.0006565640
10000,	10000,	0.0003760370,	0.0003759170
10000,	10000,	0.0005636800,	0.0005636300
10000,	10000,	0.0006181320,	0.0006180320
10000,	10000,	0.0007744260,	0.0007742760

100000,	100000,	0.0006600110,	0.0006601010
100000,	100000,	0.0004832990,	0.0004832380
100000,	100000,	0.0005499240,	0.0005500350
100000,	100000,	0.0004237770,	0.0004236360
100000,	100000,	0.0004285060,	0.0004283550

1000000,	1000000,	0.0010791190,	0.0010790690
1000000,	1000000,	0.0010862030,	0.0010862020
1000000,	1000000,	0.0010766340,	0.0010764940
1000000,	1000000,	0.0010571980,	0.0010571680
1000000,	1000000,	0.0011015710,	0.0011015410

10000000,	10000000,	0.0077415260,	0.0077415260
10000000,	10000000,	0.0079451490,	0.0079453200
10000000,	10000000,	0.0077536890,	0.0077540090
10000000,	10000000,	0.0077672850,	0.0077672540
10000000,	10000000,	0.0077146060,	0.0077147650

100000000,	100000000,	0.0703161120,	0.0703162230
100000000,	100000000,	0.0371916200,	0.0371915800
100000000,	100000000,	0.0382923890,	0.0382926000
100000000,	100000000,	0.0374882170,	0.0374881670
100000000,	100000000,	0.0372344700,	0.0372343610

1000000000,	1000000000,	0.4218577890,	0.4218580100
1000000000,	1000000000,	0.4197266420,	0.4197267930
1000000000,	1000000000,	0.4391555340,	0.4391558750
1000000000,	1000000000,	0.4232311110,	0.4232312520
1000000000,	1000000000,	0.4527721870,	0.4527726180

10000000000,	10000000000,	4.5295862320,	4.5295863520
10000000000,	10000000000,	3.8557957350,	3.8557958250
10000000000,	10000000000,	4.0076166170,	4.0076168980
10000000000,	10000000000,	4.1140908760,	4.1140910560
10000000000,	10000000000,	4.0361259930,	4.0361262040

100000000000,	100000000000,	28.9127424390,	28.9127427700
100000000000,	100000000000,	30.3331100890,	30.3331102200
100000000000,	100000000000,	30.7533986380,	30.7533988070
100000000000,	100000000000,	30.8594887620,	30.8594890130
100000000000,	100000000000,	30.8499139370,	30.8499140570

